Apical,Basal
1.7644826713888184,4.359442575684767
1.66306446024649,4.290245074483421
4.765197463302843,2.2897673611780354
3.526507581991301,3.315235116934942
0.9360780065005416,2.34375
1.1440953412784398,3.8474854364547735
6.021467841871019,0.2167597428988605
6.85923728074003,1.1729530818767249
2.481724568785994,1.4475548577336959
1.499375260308205,4.363636363636363
1.6544830458573294,0.3451714351461226
4.766450103149922,0.5522742962337962
2.8010332700507297,1.8654997696913866
1.9149762065644005,3.5491977575874736
2.0702445476371896,0.7584172827211092
2.2843957311796945,1.0559042646800023
1.253287946773944,2.6172572805450542
0.2764923868589313,
