Density,New spines,Elim spines
0.6364157610998796,0.11965902451425522,0.0
0.7221705138851394,0.018649866070342032,0.11189919642205219
0.670647489484328,0.10858350793461274,0.0
0.5331710406245214,0.0,0.08844106870892939
0.6354023955746221,0.13039481053755267,0.0
0.403329585394339,0.13756880287470938,0.034392200718677345
0.6943443042406493,0.09830348983766005,0.0
0.8202750919891869,0.06610670853187071,0.13221341706374143
0.9025494765621211,0.12261861464573327,0.0
0.4555735679945452,0.09491161257553084,0.015818602095921806
0.8014440673350048,0.13097129660687887,0.03274282415171972
0.7307647460765699,0.1000046531393436,0.0
0.45935601397871295,0.11673352532326059,0.0
0.5623012311064579,0.18707496170518603,0.041572213712263564
0.5349348942782609,0.0560501101344409,0.0
0.8716460997399943,0.101487550794358,0.0405950203177432
0.5843685298215147,0.06367351913869294,0.06367351913869294
0.7725638267498577,0.05956037826447426,0.0
0.560670894342871,0.012558458431390274,0.08790920901973193
